6;castrum, -i ;;;";";castello, luogo fortificato;;sì;30;30
7;liberi, -orum;;;";";figli;;sì;30;30
8;auxilium, -ii;;;";";aiuto;;sì;30;30
9;auxilia, -orum;;;";";truppe ausiliarie;;sì;30;30
10;vulgus, -i;;;";";popolo (ricorda che è neutro della seconda);;sì;30;30
11;accipio;";";accipio, -is, -cepi, -ceptum, -ere;||;ricevere, accettare;;sì;30;30
12;debeo;";";debeo, -es, debui, -itum, -ere;||;dovere;;sì;30;30
13;vinco;";";vinco, -is, vici, victum, -ere;||;vincere;;sì;30;30
14;pono;";";pono, -is, posui, positum, -ere;||;porre, collocare;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;magnus, -a, -um;;;";";grande;;sì;30;30
2;superus, -a, -um;;;";";del cielo, superiore;;sì;30;30
3;tantus, -a, -um;;;";";tanto grande;;sì;30;30
4;parvus, -a, -um;;;";";piccolo;;sì;30;30
5;mălus, -a, -um;;;";";malvagio;;sì;30;30
6;altus, -a, -um;;;";";alto, profondo;;sì;30;30
7;alienus, -a, -um;;;";";altrui;;sì;30;30
8;quantus, -a, -um;;;";";quanto grande;;sì;30;30
9;cunctus, -a, -um;;;";";tutto quanto;;sì;30;30
10;laetus, -a, -um;;;";";lieto, fertile;;sì;30;30
11;paucus, -a, -um;;;";";poco;;sì;30;30
12;tutus, -a, -um;;;";";protetto;;sì;30;30
13;saevus, -a, -um;;;";";crudele;;sì;30;30
14;ceterus, -a, -um;;;";";altro, rimanente;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;clarus, -a, -um;;;";";famoso;;sì;30;30
2;aequus, -a, -um;;;";";equo, giusto;;sì;30;30
3;reliquus, -a, -um;;;";";rimanente;;sì;30;30
4;eo (verbo);";";eo, is, i(v)i, itum, ire;||;andare;;sì;30;30
5;capio;";";capio, -is, cepi, captum, -ere;||;prendere;;sì;30;30
6;scio;";";scio, -is, i(v)i, -itum, ire;||;sapere;;sì;30;30
7;puto;";";puto, -as, -avi, -atum, -are;||;reputare, stimare;;sì;30;30
